id,value
category.Healthcare.Jiang Rensheng & family,12200
category.Automotive.Shahid Khan,12100
category.Technology.Laurene Powell Jobs & family,12000
category.Diversified.Robert Kuok,11800
category.Real Estate.Stephen Ross,11600
category.Technology.Pavel Durov,11500
category.Healthcare.Andreas Struengmann & family,11500
category.Healthcare.Thomas Struengmann & family,11500
category.Food & Beverage.Liu Hanyuan,11400
category.Fashion & Retail.Michael Rubin,11400
category.Finance & Investments.Israel Englander,11300
category.Manufacturing.Viatcheslav Kantor,11300
category.Manufacturing.Anthony Pratt,11300
category.Finance & Investments.Mikhail Prokhorov,11300
category.Fashion & Retail.Giorgio Armani,11100
category.Fashion & Retail.Johann Rupert & family,11100
category.Finance & Investments.Gong Hongjia & family,11000
category.Technology.Zhang Zhidong,11000
category.Finance & Investments.Philip Anschutz,10900
category.Fashion & Retail.Judy Love & family,10900
category.Fashion & Retail.Ricardo Salinas Pliego & family,10900
category.Media & Entertainment.Donald Newhouse,10700
category.Sports.Robert Kraft,10600
category.Food & Beverage.Marcel Herrmann Telles,10600
category.Finance & Investments.Suleiman Kerimov & family,10500
category.Fashion & Retail.Sky Xu,10500
category.Finance & Investments.Changpeng Zhao,10500
category.Finance & Investments.Andrew Beal,10300
category.Technology.Mike Cannon-Brookes,10200
category.Healthcare.Carl Cook,10200
category.Technology.David Duffield,10200
category.Energy.Jeffery Hildebrand,10200
category.Manufacturing.Viktor Rashnikov,10200
category.Technology.Eduardo Saverin,10200
category.Automotive.Georg Schaeffler,10200
category.Fashion & Retail.Christy Walton,10200
category.Technology.Scott Farquhar,10100
category.Diversified.Quek Leng Chan,10100
category.Real Estate.Wu Yajun,10100
category.Energy.Autry Stephens,10000
category.Service.Liu Yongxing,9900
category.Diversified.Vinod Adani,9800
category.Fashion & Retail.Nicolas Puech,9800
"category.Logistics.Jacques Saadé, Jr․",9800
category.Logistics.Rodolphe Saadé,9800
category.Logistics.Tanya Saadé Zeenny,9800
category.Finance & Investments.Melker Schorling & family,9800
category.Manufacturing.Andrei Guriev & family,9700
category.Finance & Investments.Michael Kim,9700
category.Technology.Lei Jun,9700
category.Manufacturing.Friedhelm Loh,9700
category.Healthcare.Sun Piaoyang,9700
category.Technology.Rick Cohen & family,9600
category.Energy.Jin Baofang,9600
category.Manufacturing.Luo Liguo & family,9600
category.Food & Beverage.Marijke Mars,9600
category.Food & Beverage.Pamela Mars,9600
category.Food & Beverage.Valerie Mars,9600
category.Food & Beverage.Victoria Mars,9600
category.Finance & Investments.Vincent Bolloré & family,9500
category.Diversified.Jim Pattison,9500
category.Healthcare.Ernesto Bertarelli,9400
category.Technology.Wang Xing,9400
category.Technology.Brian Chesky,9300
category.Manufacturing.James Dyson,9300
category.Diversified.Roman Abramovich & family,9200
category.Diversified.Antonia Ax:son Johnson & family,9200
category.Energy.Daniel Kretinsky,9200
category.Media & Entertainment.John Malone,9200
category.Technology.Azim Premji,9200
category.Finance & Investments.Charles Schwab,9200
category.Fashion & Retail.Eric Smidt,9200
category.Technology.David Cheriton,9000
category.Metals & Mining.Ivan Glasenberg,9000
category.Real Estate.Alexander Otto,9000
category.Food & Beverage.Anthony von Mandl,9000
category.Manufacturing.Wang Liping & family,9000
category.Food & Beverage.Finn Rausing,8900
category.Food & Beverage.Jorn Rausing,8900
category.Food & Beverage.Kirsten Rausing,8900
category.Fashion & Retail.Tatyana Bakalchuk,8800
category.Technology.John Doerr,8800
category.Technology.Richard Liu,8800
category.Technology.Dustin Moskovitz,8800
category.Technology.Pierre Omidyar,8800
category.Energy.Pei Zhenhua,8800
category.Energy.Carrie Perrodo & family,8800
category.Manufacturing.Chen Jianhua,8700
category.Fashion & Retail.Michael Otto,8700
category.Finance & Investments.Leon Black,8600
category.Finance & Investments.Graeme Hart,8600
category.Food & Beverage.Ravi Jaipuria,8600
category.Technology.Hasso Plattner & family,8600
category.Food & Beverage.Carlos Alberto Sicupira & family,8600
category.Real Estate.Manuel Villar,8600
category.Technology.Andreas von Bechtolsheim & family,8600
"category.Finance & Investments.Chase Coleman, III․",8500
category.Fashion & Retail.Ann Walton Kroenke,8500
category.Manufacturing.Li Zhenguo & family,8500
category.Media & Entertainment.Jim Kennedy,8400
category.Metals & Mining.Nicky Oppenheimer & family,8400
category.Media & Entertainment.Blair Parry-Okeden,8400
