id,value
category.Real Estate.Ian Livingstone,4300
category.Real Estate.Richard Livingstone,4300
category.Food & Beverage.Gwendolyn Sontheim Meyer,4300
category.Real Estate.Jay Paul,4300
category.Diversified.Pham Nhat Vuong,4300
category.Healthcare.Jon Stryker,4300
category.Finance & Investments.Daniel Tsai,4300
category.Finance & Investments.Richard Tsai,4300
category.Technology.Frank Wang,4300
category.Manufacturing.Wang Junshi & family,4300
category.Technology.Wang Wenjing,4300
category.Finance & Investments.Herbert Wertheim,4300
category.Service.Shari Arison,4200
category.Finance & Investments.Pyotr Aven,4200
category.Real Estate.Chan Laiwa & family,4200
category.Real Estate.Chen Hua,4200
category.Finance & Investments.Thomas Hagen,4200
"category.Finance & Investments.Rupert Johnson, Jr․",4200
category.Energy.Dewi Kam,4200
category.Technology.Min Kao & family,4200
category.Finance & Investments.Marc Ladreit de Lacharriere,4200
category.Technology.Eric Lefkofsky,4200
category.Technology.Lin Bin,4200
category.Finance & Investments.Lin Li,4200
category.Technology.Michael Moritz,4200
category.Service.Jean (Gigi) Pritzker,4200
category.Automotive.E․ Joe Shoen,4200
category.Technology.Jeff Skoll,4200
category.Food & Beverage.Lynsi Snyder,4200
category.Fashion & Retail.Djoko Susanto,4200
category.Diversified.Tahir & family,4200
category.Finance & Investments.Peter Thiel,4200
category.Food & Beverage.Andrej Babis,4100
category.Service.Danielle Bellon & family,4100
category.Media & Entertainment.Hubert Burda,4100
category.Food & Beverage.Nick Caporella,4100
category.Energy.John Catsimatidis,4100
category.Technology.Scott Cook,4100
category.Food & Beverage.Luca Garavoglia,4100
category.Manufacturing.Antti Herlin,4100
category.Manufacturing.Hong Jie,4100
"category.Service.Jeremy Jacobs, Sr․ & family",4100
category.Fashion & Retail.Igor Kesaev,4100
category.Food & Beverage.Mary Alice Dorrance Malone,4100
category.Diversified.Joao Moreira Salles,4100
category.Finance & Investments.Walther Moreira Salles Junior,4100
category.Sports.Arturo Moreno,4100
category.Manufacturing.Peter Spuhler,4100
category.Real Estate.Donald Sterling,4100
category.Diversified.Kerry Stokes,4100
category.Technology.Ken Xie,4100
category.Healthcare.Liangzhi Xie & family,4100
category.Energy.Sid Bass,4000
category.Technology.Ben Chestnut,4000
category.Food & Beverage.Elisabeth DeLuca & family,4000
category.Diversified.Guangchang Guo,4000
category.Manufacturing.Vinod Rai Gupta,4000
category.Sports.John Henry,4000
category.Technology.Travis Kalanick,4000
category.Manufacturing.Koon Poh Keong,4000
category.Technology.Dan Kurzius,4000
category.Manufacturing.Paul Lee,4000
category.Technology.Tobi Lutke,4000
category.Automotive.Gail Miller,4000
category.Telecom.Rajan Mittal,4000
category.Telecom.Rakesh Mittal,4000
category.Media & Entertainment.Isaac Perlmutter,4000
"category.Finance & Investments.Bernard Saul, II․",4000
category.Telecom.Shaul Shani,4000
category.Media & Entertainment.Steven Spielberg,4000
category.Healthcare.Jerzy Starak,4000
category.Energy.Torbjorn Tornqvist,4000
category.Metals & Mining.Rufino Vigil Gonzalez,4000
category.Diversified.Zhang Daocai,4000
category.Manufacturing.Juergen Blickle,3900
"category.Food & Beverage.Austen Cargill, II․",3900
"category.Food & Beverage.James Cargill, II․",3900
category.Finance & Investments.Vanich Chaiyawan,3900
category.Finance & Investments.Chen Dongsheng,3900
category.Automotive.Mong-Koo Chung,3900
category.Finance & Investments.Kenneth Dart,3900
category.Fashion & Retail.Giuseppe De'Longhi & family,3900
category.Healthcare.Guenther Fielmann & family,3900
category.Energy.W․ Herbert Hunt,3900
category.Sports.James Irsay,3900
category.Diversified.Somurai Jaruphnit,3900
category.Food & Beverage.Marianne Liebmann,3900
category.Healthcare.Jorge Moll Filho & family,3900
category.Diversified.Fernando Roberto Moreira Salles,3900
category.Diversified.Pedro Moreira Salles,3900
category.Gambling & Casinos.Gabe Newell,3900
category.Fashion & Retail.Alfred Oetker,3900
category.Fashion & Retail.Carl Ferdinand Oetker,3900
category.Fashion & Retail.Julia Oetker,3900
category.Manufacturing.Ruan Hongliang & family,3900
category.Finance & Investments.Mark Stevens,3900
category.Finance & Investments.Tsai Hong-tu,3900
category.Food & Beverage.Nusli Wadia,3900
category.Healthcare.Wu Yiling,3900
category.Manufacturing.Yu Renrong,3900
category.Healthcare.Zhu Baoguo & family,3900
category.Service.Rahul Bhatia,3800
category.Construction & Engineering.Francesco Gaetano Caltagirone,3800
category.Media & Entertainment.Barry Diller,3800
category.Finance & Investments.Wesley Edens,3800
category.Finance & Investments.Stephen Feinberg,3800
category.Service.Rakesh Gangwal,3800
category.Food & Beverage.Joseph Grendys,3800
category.Media & Entertainment.Martha Ingram & family,3800
category.Automotive.Li Xiang,3800
"category.Real Estate.H․ Ross Perot, Jr․",3800
category.Real Estate.Chandru Raheja,3800
category.Energy.Trevor Rees-Jones,3800
category.Telecom.Yasumitsu Shigeta,3800
category.Healthcare.Su Qingcan,3800
category.Finance & Investments.Tsai Cheng-ta,3800
category.Service.Steven Udvar-Hazy,3800
category.Manufacturing.Elizabeth Uihlein,3800
category.Manufacturing.Richard Uihlein,3800
category.Finance & Investments.Hayes Barnard,3700
category.Finance & Investments.William Berkley,3700
category.Real Estate.Charles Cohen,3700
category.Real Estate.Yakir Gabay,3700
category.Technology.Huang Li,3700
category.Logistics.Brad Jacobs,3700
category.Real Estate.Ji Qi,3700
category.Media & Entertainment.Jason Jiang,3700
category.Technology.Jim Kavanaugh,3700
category.Real Estate.Richard LeFrak & family,3700
category.Finance & Investments.Mikhail Lomtadze,3700
category.Fashion & Retail.Tom Morris,3700
category.Manufacturing.Shigenobu Nagamori,3700
category.Finance & Investments.Daniel Och,3700
category.Fashion & Retail.Horst Paulmann & family,3700
category.Service.Anthony Pritzker,3700
category.Technology.John Sall,3700
category.Food & Beverage.Howard Schultz,3700
category.Fashion & Retail.Richard Schulze,3700
category.Real Estate.Yitzhak Tshuva,3700
category.Manufacturing.Wang Yanqing & family,3700
category.Diversified.Rajiv Bajaj,3600
category.Diversified.Sanjiv Bajaj,3600
category.Finance & Investments.Leonid Boguslavsky,3600
category.Finance & Investments.Jim Coulter,3600
category.Automotive.Nicolas D'Ieteren,3600
category.Food & Beverage.Beatriz Davila de Santo Domingo,3600
category.Real Estate.Bob Gaglardi,3600
category.Finance & Investments.Jaime Gilinski Bacal,3600
category.Gambling & Casinos.Pansy Ho,3600
category.Finance & Investments.Alan Howard,3600
category.Automotive.Huang Yi,3600
category.Finance & Investments.Peter Kellogg,3600
category.Finance & Investments.Vyacheslav Kim,3600
category.Finance & Investments.Josh Kushner,3600
category.Real Estate.Samuel Tak Lee,3600
category.Real Estate.Edwin Leong,3600
"category.Finance & Investments.Stephen Mandel, Jr․",3600
category.Diversified.Mohamed Mansour,3600
category.Fashion & Retail.Masahiro Miki,3600
category.Technology.Masahiro Noda,3600
category.Technology.Cliff Obrecht,3600
category.Technology.Melanie Perkins,3600
category.Finance & Investments.J․B․ Pritzker,3600
category.Fashion & Retail.Juan Roig,3600
category.Real Estate.Jerry Speyer & family,3600
category.Fashion & Retail.Lawrence Stroll,3600
category.Logistics.Tung Chee Chen,3600
category.Food & Beverage.Wang Junlin,3600
category.Automotive.Xia Zuoquan,3600
category.Technology.Zeng Fangqin,3600
category.Manufacturing.Zhang Jian,3600
category.Fashion & Retail.Rocco Basilico,3500
category.Healthcare.Maurizio Billi,3500
category.Finance & Investments.Fashu Chen,3500
category.Manufacturing.Giuseppe Crippa & family,3500
category.Finance & Investments.Daniel D'Aniello,3500
category.Fashion & Retail.Claudio Del Vecchio,3500
category.Fashion & Retail.Clemente Del Vecchio,3500
category.Fashion & Retail.Leonardo Maria Del Vecchio,3500
category.Fashion & Retail.Luca Del Vecchio,3500
category.Fashion & Retail.Marisa Del Vecchio,3500
category.Fashion & Retail.Paola Del Vecchio,3500
category.Finance & Investments.Walter P․J․ Droege,3500
category.Fashion & Retail.Fan Daidi,3500
category.Technology.Peter Gassner,3500
category.Energy.Mikhail Gutseriev,3500
category.Manufacturing.Patrick Lee,3500
category.Food & Beverage.Leng Youbin,3500
category.Finance & Investments.Daniel Loeb,3500
category.Food & Beverage.Margarita Louis-Dreyfus & family,3500
category.Healthcare.Prasert Prasarttong-Osoth,3500
category.Finance & Investments.Ira Rennert,3500
category.Fashion & Retail.Dirk Rossmann & family,3500
category.Construction & Engineering.Arkady Rotenberg,3500
category.Fashion & Retail.Remo Ruffini,3500
category.Healthcare.Karin Sartorius-Herbst,3500
category.Automotive.Vivek Chaand Sehgal,3500
category.Finance & Investments.Scott Shleifer,3500
category.Technology.Thomas Siebel,3500
category.Manufacturing.Wim van der Leegte & family,3500
category.Diversified.Xiao Yongming & family,3500
category.Technology.Michael Xie,3500
category.Logistics.Yang Shaopeng,3500
category.Fashion & Retail.Nicoletta Zampillo,3500
category.Manufacturing.Barry Zekelman,3500
category.Finance & Investments.William Ackman,3400
category.Energy.Somphote Ahunai,3400
category.Metals & Mining.Igor Altushkin,3400
category.Food & Beverage.Ramon Ang,3400
category.Food & Beverage.Acharya Balkrishna,3400
category.Manufacturing.Markus Blocher,3400
category.Diversified.Richard Branson,3400
category.Finance & Investments.Cho Jung-ho,3400
category.Food & Beverage.Alessandra Garavoglia,3400
category.Fashion & Retail.Laurence Graff & family,3400
"category.Media & Entertainment.Amos Hostetter, Jr․",3400
category.Sports.Robert Johnson,3400
category.Finance & Investments.Steven Klinsky,3400
category.Fashion & Retail.William Lauder,3400
category.Food & Beverage.John Middleton,3400
category.Fashion & Retail.Hiroshi Mikitani,3400
category.Technology.Bob Parsons,3400
category.Finance & Investments.J․ Joe Ricketts & family,3400
category.Real Estate.Herb Simon,3400
category.Healthcare.Leena Tewari,3400
category.Media & Entertainment.Stefan von Holtzbrinck,3400
category.Food & Beverage.Hans Peter Wild,3400
category.Healthcare.Wu Guanjiang & family,3400
category.Technology.Yi Zheng,3400
category.Technology.Eric Yuan & family,3400
category.Media & Entertainment.Charles Zegar,3400
category.Construction & Engineering.Mohed Altrad,3300
category.Finance & Investments.John Arnold,3300
category.Manufacturing.Bill Austin,3300
category.Manufacturing.Chen Shibin,3300
category.Food & Beverage.Bennett Dorrance,3300
category.Food & Beverage.Walter Faria,3300
category.Automotive.Walter Frey,3300
category.Technology.Fu Liquan & family,3300
category.Real Estate.John Gandel,3300
category.Construction & Engineering.Peter Gilgan,3300
category.Diversified.Kwek Leng Beng,3300
category.Finance & Investments.Pablo Legorreta,3300
category.Media & Entertainment.Arnon Milchan,3300
category.Fashion & Retail.Akio Nitori,3300
category.Metals & Mining.Julio Ponce Lerou,3300
category.Finance & Investments.Rodger Riney & family,3300
category.Diversified.Phil Ruffin,3300
category.Telecom.Naguib Sawiris,3300
category.Finance & Investments.Neil Shen,3300
category.Technology.Gil Shwed,3300
category.Finance & Investments.Stephen Smith,3300
category.Finance & Investments.Nik Storonsky,3300
category.Finance & Investments.Jeffrey Talpins,3300
category.Finance & Investments.Carl Thoma,3300
category.Manufacturing.Todd Wanek,3300
category.Manufacturing.Xue Hua,3300
category.Fashion & Retail.Takao Yasuda,3300
category.Food & Beverage.Karen Virginia Beckmann Legoretta,3200
category.Fashion & Retail.Giuliana Benetton,3200
category.Fashion & Retail.Luciano Benetton,3200
category.Manufacturing.Arun Bharat Ram,3200
category.Finance & Investments.Ron Burkle,3200
category.Manufacturing.Chen Kaixuan,3200
category.Fashion & Retail.Brunello Cucinelli & family,3200
category.Manufacturing.Antonio Del Valle Ruiz & family,3200
category.Healthcare.Gustavo Denegri & family,3200
category.Automotive.Dong Jinggui,3200
category.Media & Entertainment.Charles Ergen,3200
category.Technology.David Filo,3200
category.Logistics.Lindsay Fox,3200
category.Fashion & Retail.Sergei Galitsky,3200
category.Technology.Senapathy Gopalakrishnan,3200
category.Fashion & Retail.Luciano Hang,3200
category.Finance & Investments.Michael Hintze,3200
category.Healthcare.Hu Baifan,3200
category.Finance & Investments.Hamilton James & family,3200
category.Technology.Lee Boo-jin,3200
category.Manufacturing.Li Liangbin,3200
category.Manufacturing.Liang Feng,3200
category.Healthcare.Samir Mehta,3200
category.Healthcare.Sudhir Mehta,3200
category.Metals & Mining.Aristotelis Mistakidis,3200
category.Real Estate.Geoffrey Palmer,3200
category.Automotive.Roger Penske,3200
category.Construction & Engineering.Ravi Pillai,3200
category.Finance & Investments.David Rubenstein,3200
category.Food & Beverage.Hilton Schlosberg,3200
category.Service.Klaus-Peter Schulenberg,3200
category.Energy.Lynn Schusterman & family,3200
category.Manufacturing.Isabella Seràgnoli,3200
category.Fashion & Retail.Shen Guojun,3200
category.Finance & Investments.Warren Stephens,3200
category.Healthcare.Pat Stryker,3200
category.Logistics.Roman Trotsenko,3200
category.Technology.Harald Tschira,3200
category.Technology.Udo Tschira,3200
category.Finance & Investments.Vincent Viola,3200
category.Food & Beverage.Wu Shaoxun,3200
category.Gambling & Casinos.Steve Wynn,3200
category.Gambling & Casinos.Jon Yarbrough,3200
category.Manufacturing.Zhou Bajin,3200
category.Manufacturing.Cho Tak Wong,3100
category.Gambling & Casinos.John Coates,3100
category.Finance & Investments.Ryan Cohen,3100
category.Food & Beverage.Deng Wen,3100
category.Manufacturing.Gurbachan Singh Dhingra,3100
category.Manufacturing.Kuldip Singh Dhingra,3100
category.Finance & Investments.Martin Ebner,3100
category.Manufacturing.Charles Edelstenne,3100
category.Real Estate.Sergei Gordeev,3100
category.Media & Entertainment.Jeff T․ Green,3100
category.Technology.Reed Hastings,3100
category.Service.Bertil Hult,3100
category.Fashion & Retail.Miguel Krigsner,3100
category.Manufacturing.Kuok Khoon Hong,3100
category.Fashion & Retail.Aerin Lauder,3100
category.Food & Beverage.Sheldon Lavin,3100
category.Manufacturing.Yin Yee Lee,3100
category.Manufacturing.Vladimir Litvinenko & family,3100
category.Metals & Mining.Daniel Mate,3100
category.Fashion & Retail.Ravi Modi,3100
category.Diversified.Farhad Moshiri,3100
category.Finance & Investments.Jonathan Nelson,3100
category.Real Estate.Or Wai Sheun,3100
category.Real Estate.Katharina Otto-Bernstein,3100
category.Finance & Investments.Sergei Popov,3100
category.Finance & Investments.Penny Pritzker,3100
category.Diversified.Theodore Rachmat,3100
category.Fashion & Retail.Renzo Rosso & family,3100
category.Media & Entertainment.Friede Springer,3100
category.Real Estate.Rita Tong Liu,3100
category.Finance & Investments.Timur Turlov,3100
category.Fashion & Retail.Frank VanderSloot,3100
category.Media & Entertainment.Yoo Jung-hyun,3100
category.Diversified.Abdulla bin Ahmad Al Ghurair & family,3000
category.Diversified.Semahat Sevim Arsel,3000
category.Real Estate.Nicolas Berggruen,3000
category.Energy.George Bishop,3000
category.Automotive.Norman Braman,3000
category.Technology.Eva Maria Bucher-Haefner,3000
category.Healthcare.Cai Dongchen,3000
category.Food & Beverage.Jean-Pierre Cayard,3000
category.Real Estate.Chan Tan Ching-fen,3000
category.Fashion & Retail.Todd Christopher,3000
category.Real Estate.Mang Yee Chu & family,3000
"category.Finance & Investments.William Conway, Jr․",3000
category.Fashion & Retail.Jean Coutu & family,3000
category.Automotive.Catheline Perier D'Ieteren,3000
"category.Real Estate.Edward DeBartolo, Jr․",3000
category.Finance & Investments.Stephen Deckoff,3000
category.Metals & Mining.Feng Hailiang,3000
"category.Automotive.Ernest Garcia, II․",3000
category.Food & Beverage.Sam Goi,3000
category.Diversified.Carlos Hank Rhon,3000
category.Manufacturing.Susan Carol Holland,3000
category.Real Estate.Hui Ka Yan,3000
category.Manufacturing.Vivek Jain,3000
category.Fashion & Retail.Friedrich Knapp,3000
category.Healthcare.Egor Kulkov,3000
category.Fashion & Retail.Lin Ming-hsiung,3000
category.Technology.Lin Xiucheng & family,3000
category.Food & Beverage.Harsh Mariwala,3000
category.Healthcare.Gilles Martin,3000
category.Healthcare.Maja Oeri,3000
category.Finance & Investments.John Paulson,3000
category.Healthcare.Ajay Piramal,3000
category.Fashion & Retail.Guanghe Qiu & family,3000
category.Fashion & Retail.Stephen Rubin,3000
category.Food & Beverage.Robert Sands,3000
category.Real Estate.Erik Selin,3000
category.Food & Beverage.Yonghong Shi & family,3000
category.Manufacturing.Martua Sitorus,3000
category.Diversified.Guangxin Sun,3000
category.Diversified.Sukanto Tanoto,3000
category.Service.Sunny Varkey,3000
category.Media & Entertainment.Gang Ye,3000
category.Healthcare.Ye Xiaoping,3000
category.Finance & Investments.Lei Zhang,3000
category.Manufacturing.Zhu Gongshan & family,3000
category.Fashion & Retail.Isak Andic & family,2900
category.Automotive.Alberto Bombassei,2900
category.Healthcare.Cao Longxiang & family,2900
"category.Real Estate.Roy Carroll, II․",2900
category.Telecom.John Caudwell,2900
category.Technology.James Clark,2900
category.Fashion & Retail.Jacques D'Amours,2900
category.Fashion & Retail.John Paul DeJoria,2900
category.Sports.Bernard Ecclestone & family,2900
category.Technology.Michael Federmann & family,2900
category.Media & Entertainment.Kenneth Feld & family,2900
category.Manufacturing.Gu Yuhua & family,2900
category.Construction & Engineering.Otto Happel,2900
category.Healthcare.Gudrun Heine,2900
category.Real Estate.Donald Horton & family,2900
category.Real Estate.Zarakh Iliev,2900
category.Diversified.Ipek Kirac,2900
category.Technology.Lee Seo-hyun,2900
category.Healthcare.Li Jianquan & family,2900
category.Healthcare.Li Li,2900
category.Manufacturing.Li Xiaohua & family,2900
category.Manufacturing.Liu Xiaodong,2900
category.Technology.Martin Lorentzon,2900
category.Energy.Ronald McAulay,2900
category.Fashion & Retail.Erwin Franz Mueller,2900
category.Technology.Georg Nemetschek & family,2900
category.Real Estate.God Nisanov,2900
category.Real Estate.Vikas Oberoi,2900
category.Energy.Gregorio Perez Companc & family,2900
category.Finance & Investments.Sebastian Piñera & family,2900
category.Automotive.Arvind Poddar,2900
category.Healthcare.Alexey Repik,2900
category.Media & Entertainment.Haim Saban,2900
category.Food & Beverage.Rodney Sacks,2900
category.Finance & Investments.Karthik Sarma,2900
category.Healthcare.Sybill Storz,2900
category.Finance & Investments.Daniel Sundheim,2900
"category.Food & Beverage.William Wrigley, Jr․",2900
category.Fashion & Retail.Zhang Wenzhong,2900
category.Fashion & Retail.Zhou Jianping,2900
category.Fashion & Retail.Joy Alukkas,2800
category.Healthcare.Kang An,2800
category.Technology.Garrett Camp,2800
category.Gambling & Casinos.Chen Lip Keong,2800
category.Real Estate.Choo Chong Ngen,2800
category.Automotive.Euisun Chung,2800
category.Diversified.Smita Crishna-Godrej,2800
category.Fashion & Retail.Eleanor Butt Crook & family,2800
category.Manufacturing.Du Jiangtao & family,2800
category.Sports.Lorenzo Fertitta,2800
category.Technology.Sebastian Glaser,2800
category.Diversified.Adi Godrej,2800
category.Diversified.Jamshyd Godrej,2800
category.Real Estate.Lee Yeow Chor,2800
category.Manufacturing.Li Weiguo,2800
category.Manufacturing.Dmitry Mazepin,2800
"category.Fashion & Retail.Drayton McLane, Jr․",2800
category.Telecom.Najib Mikati,2800
category.Telecom.Taha Mikati,2800
category.Real Estate.Akira Mori & family,2800
category.Diversified.Rishad Naoroji,2800
category.Diversified.Philip Niarchos,2800
category.Technology.Nandan Nilekani,2800
category.Fashion & Retail.Benjamin Otto,2800
category.Diversified.Maren Otto,2800
category.Service.Ranjan Pai,2800
category.Manufacturing.Madhukar Parekh,2800
category.Technology.Sean Parker,2800
category.Healthcare.Stewart Rahr,2800
category.Media & Entertainment.Su Hua,2800
category.Manufacturing.Sun Shoukuan,2800
category.Manufacturing.Tseng Cheng,2800
category.Logistics.Tung Chee Hwa,2800
category.Technology.Meg Whitman,2800
category.Manufacturing.Wong Luen Hei,2800
category.Healthcare.Chenghai Ye & family,2800
category.Manufacturing.Zhu Xingming,2800
category.Finance & Investments.Jose Joao Abdalla Filho,2700
category.Finance & Investments.Juan Abello,2700
category.Diversified.Suhail Bahwan,2700
category.Diversified.Madhur Bajaj,2700
category.Diversified.Niraj Bajaj,2700
category.Diversified.Shekhar Bajaj,2700
category.Finance & Investments.Harindarpal Banga,2700
category.Healthcare.Ulrike Baro,2700
category.Healthcare.Anne Beaufour,2700
category.Healthcare.Henri Beaufour,2700
category.Manufacturing.Andrei Bokarev,2700
category.Food & Beverage.Jack Cowin,2700
category.Finance & Investments.Glenn Dubin,2700
category.Energy.N․ Murray Edwards,2700
"category.Sports.Frank Fertitta, III․",2700
category.Automotive.Abhay Firodia,2700
category.Finance & Investments.Bruce Flatt,2700
category.Service.Miguel Fluxa Rossello,2700
category.Metals & Mining.Robert Friedland,2700
category.Metals & Mining.Alexander Frolov,2700
category.Diversified.Nadir Godrej,2700
category.Service.Maggie Hardy,2700
category.Finance & Investments.Nithin Kamath,2700
category.Construction & Engineering.Samvel Karapetyan,2700
category.Real Estate.Kei Hoi Pang,2700
category.Diversified.Mustafa Rahmi Koc,2700
category.Finance & Investments.Yuri Kovalchuk & family,2700
category.Real Estate.Geoffrey Kwok,2700
category.Real Estate.Jonathan Kwok,2700
category.Manufacturing.Hans Langer,2700
category.Manufacturing.Frank Laukien,2700
category.Real Estate.Maritsa Lazari & family,2700
category.Real Estate.Angela Leong,2700
category.Technology.Li Zhongchu,2700
category.Food & Beverage.Liang Yunchao,2700
category.Sports.Vincent McMahon,2700
category.Metals & Mining.Patrice Motsepe,2700
category.Telecom.Denis O'Brien,2700
category.Food & Beverage.Timm Oberwelland,2700
category.Diversified.Dan Olsson,2700
category.Technology.Yuji Otsuka,2700
category.Fashion & Retail.Pan Dong,2700
category.Diversified.Karsanbhai Patel,2700
category.Real Estate.Richard Peery,2700
category.Metals & Mining.Gianfelice Rocca,2700
category.Metals & Mining.Paolo Rocca,2700
category.Healthcare.Wayne Rothbaum,2700
category.Technology.Jeff Rothschild,2700
category.Technology.Raj Sardana,2700
category.Media & Entertainment.Christiane Schoeller,2700
category.Manufacturing.Salil Singhal,2700
category.Logistics.Alexander Skorobogatko,2700
category.Technology.Evan Spiegel,2700
category.Service.Glen Taylor,2700
category.Media & Entertainment.Thomas Tull,2700
category.Metals & Mining.Bulat Utemuratov,2700
category.Food & Beverage.Gustav Magnar Witzoe,2700
category.Manufacturing.Wong Man Li,2700
category.Healthcare.Guangming Wu,2700
category.Healthcare.Zhu Yi,2700
category.Real Estate.Ben Ashkenazy,2600
category.Finance & Investments.Felix Baker,2600
category.Finance & Investments.Julian Baker,2600
category.Media & Entertainment.David Baszucki,2600
category.Food & Beverage.Joesley Batista,2600
category.Food & Beverage.Wesley Batista,2600
category.Media & Entertainment.Yvonne Bauer,2600
category.Manufacturing.Miriam Baumann-Blocher,2600
category.Healthcare.Cen Junda,2600
category.Finance & Investments.Richard Chandler,2600
category.Manufacturing.Chen Zhiping,2600
category.Service.Fernando Chico Pardo,2600
category.Energy.Ray Davis,2600
category.Construction & Engineering.Maria Del Pino,2600
category.Manufacturing.Deng Weiming & family,2600
"category.Food & Beverage.John Dorrance, III․",2600
category.Diversified.Carl Douglas,2600
category.Diversified.Eric Douglas,2600
category.Manufacturing.Fiona Geminder,2600
category.Finance & Investments.Stewart Horejsi & family,2600
category.Healthcare.Hou Juncheng,2600
category.Construction & Engineering.Zhenda Huang & family,2600
category.Service.Dmitry Kamenshchik,2600
category.Finance & Investments.Alicia Koplowitz,2600
category.Real Estate.Adam Kwok,2600
category.Finance & Investments.Henry Laufer,2600
category.Food & Beverage.Louis Le Duff,2600
category.Technology.Mark Leonard & family,2600
category.Automotive.Li Guoqiang,2600
category.Service.Li Yongxin,2600
category.Finance & Investments.Peter Lim,2600
category.Diversified.Lu Weiding,2600
category.Service.Sergio Mantegazza,2600
category.Finance & Investments.Hans Melchers,2600
category.Food & Beverage.C․ Dean Metropoulos,2600
category.Manufacturing.Hans Georg Naeder,2600
category.Fashion & Retail.Falguni Nayar,2600
category.Finance & Investments.James Packer,2600
category.Logistics.Alexander Ponomarenko,2600
category.Finance & Investments.Nicholas Pritzker,2600
category.Food & Beverage.Alejandro Santo Domingo,2600
category.Technology.Steven Sarowitz,2600
category.Automotive.Maria-Elisabeth Schaeffler-Thumann,2600
category.Healthcare.Leonard Schleifer,2600
category.Manufacturing.Dieter Schnabel,2600
category.Energy.Michael S․ Smith,2600
category.Manufacturing.Julia Thiele-Schuerhoff,2600
category.Food & Beverage.John Tyson & family,2600
category.Manufacturing.Anna Katharina Viessmann,2600
category.Construction & Engineering.Jurgen Wirtgen,2600
category.Construction & Engineering.Stefan Wirtgen,2600
category.Technology.Zhao Lixin,2600
category.Technology.Hongyi Zhou,2600
category.Food & Beverage.S․ Daniel Abraham,2500
category.Fashion & Retail.Bill Alfond,2500
category.Fashion & Retail.Susan Alfond,2500
category.Fashion & Retail.Ted Alfond,2500
category.Construction & Engineering.Riley Bechtel & family,2500
category.Diversified.Thor Bjorgolfsson,2500
category.Food & Beverage.Charles Bronfman,2500
category.Food & Beverage.Vivek Chand Burman,2500
category.Automotive.Herb Chambers,2500
category.Media & Entertainment.Cheng Yixiao,2500
category.Food & Beverage.Andrew Cherng,2500
category.Food & Beverage.Peggy Cherng,2500
category.Finance & Investments.Leon G․ Cooperman,2500
category.Manufacturing.Yadu Hari Dalmia & family,2500
category.Food & Beverage.Henry Davis,2500
category.Metals & Mining.Oleg Deripaska,2500
category.Technology.Sergey Dmitriev,2500
category.Finance & Investments.Joseph Edelman,2500
category.Manufacturing.Sandeep Engineer,2500
category.Energy.Alceu Elias Feldmann & family,2500
category.Technology.Serge Godin,2500
category.Finance & Investments.Alec Gores,2500
category.Fashion & Retail.Bill Haslam,2500
category.Finance & Investments.J․ Tomilson Hill,2500
category.Media & Entertainment.Jay-Z,2500
category.Automotive.Baba Kalyani,2500
category.Energy.Saban Cemil Kazanci,2500
category.Real Estate.Brad Kelley,2500
category.Construction & Engineering.Wolfgang Leitner,2500
category.Manufacturing.Li Hongxin & family,2500
category.Real Estate.Lin Chen-hai,2500
category.Fashion & Retail.Lu Yiwen,2500
category.Food & Beverage.Prayudh Mahagitsiri,2500
category.Healthcare.Willy Michel,2500
category.Automotive.Lachhman Das Mittal,2500
category.Technology.Bobby Murphy,2500
category.Real Estate.Tomas Olivo Lopez,2500
category.Manufacturing.Eren Ozmen,2500
category.Finance & Investments.John Pritzker,2500
category.Technology.Qiu Minxiu,2500
category.Diversified.Ferit Faik Sahenk,2500
category.Metals & Mining.Wenrong Shen,2500
category.Diversified.Yuzhu Shi,2500
category.Real Estate.Jeff Sutton,2500
"category.Diversified.Henry Sy, Jr․",2500
category.Diversified.Andrew Tan,2500
category.Energy.Arvind Tiku,2500
category.Finance & Investments.Byron Trott,2500
category.Real Estate.Donald Trump,2500
category.Automotive.Peter Unger,2500
category.Fashion & Retail.Roger Wang,2500
category.Media & Entertainment.Oprah Winfrey,2500
category.Food & Beverage.Wu Zhigang & family,2500
category.Metals & Mining.Xie Weitong,2500
category.Fashion & Retail.Ye Guofu,2500
category.Technology.Brian Acton,2400
category.Automotive.Abdulla Al Futtaim & family,2400
category.Energy.Edward Bass,2400
category.Media & Entertainment.Koos Bekker,2400
category.Healthcare.Otto Philipp Braun,2400
category.Fashion & Retail.Chen Tei-fu,2400
category.Fashion & Retail.Abilio dos Santos Diniz,2400
category.Finance & Investments.Marcel Erni,2400
category.Fashion & Retail.Doris Fisher,2400
category.Finance & Investments.Gerald Ford,2400
category.Healthcare.Bernard Fraisse & family,2400
category.Finance & Investments.Alfred Gantner,2400
category.Gambling & Casinos.Paul Gauselmann & family,2400
category.Real Estate.Mitchell Goldhar,2400
category.Finance & Investments.Peter Hargreaves,2400
category.Healthcare.Xuande Hua & family,2400
category.Diversified.Kwek Leng Kee,2400
category.Manufacturing.Catherine Lozick,2400
category.Media & Entertainment.Kalanithi Maran,2400
category.Finance & Investments.Jed McCaleb,2400
category.Manufacturing.Fatih Ozmen,2400
category.Food & Beverage.Pan Laican,2400
category.Metals & Mining.Tor Peterson,2400
category.Finance & Investments.Daniel Pritzker,2400
category.Real Estate.Jinxing Qi,2400
