id,value,gdp_country,tax_rate_country,amount_of_billionaires,percentage
category,,,,,
category;Fashion & Retail,,,,,
category;Technology;Netherlands,6000,"$909,070,395,161 ",41.2,3.0,0.003195058309814154
category;Technology;Russia,2100,"$1,699,876,578,871 ",46.2,1.0,0.001118270408434954
category;Technology;United Kingdom,5100,"$2,827,113,184,696 ",30.6,3.0,0.002715799563342031
category;Technology;Czech Republic,3300,"$246,489,245,495 ",46.1,2.0,0.0017572820703977848
category;Technology;Indonesia,3100,"$1,119,190,780,753 ",30.1,2.0,0.001650780126737313
category;Technology;Italy,1000,"$2,001,244,392,042 ",59.1,1.0,0.000532509718302359
category;Finance & Investments,,,,,
category;Finance & Investments;United States,1003500,"$21,427,700,000,000 ",36.6,190.0,0.6251946919195066
category;Finance & Investments;Indonesia,26100,"$1,119,190,780,753 ",30.1,2.0,0.016260669117188962
category;Finance & Investments;Switzerland,78300,"$703,082,435,360 ",28.8,15.0,0.04878200735156688
category;Finance & Investments;Czech Republic,18200,"$246,489,245,495 ",46.1,2.0,0.0113388573920628
category;Finance & Investments;India,25500,"$2,611,000,000,000 ",49.7,7.0,0.01588686063173634
category;Finance & Investments;Hong Kong,24400,,,6.0,0.015201545075073205
category;Finance & Investments;Russia,22200,"$1,699,876,578,871 ",46.2,8.0,0.013830913961746932
category;Finance & Investments;United Arab Emirates,19800,"$421,142,267,938 ",15.9,3.0,0.012335680019936452
category;Finance & Investments;Sweden,18500,"$530,832,908,738 ",49.1,4.0,0.011525761634789109
category;Finance & Investments;South Korea,13100,"$2,029,000,000,000 ",33.2,2.0,0.008161485265715532
category;Finance & Investments;France,16800,"$2,715,518,274,227 ",60.7,4.0,0.010466637592673354
category;Finance & Investments;New Zealand,8600,"$206,928,765,544 ",34.6,1.0,0.005357921624820883
category;Finance & Investments;Monaco,9800,"$7,184,844,193 ",,2.0,0.006105538595726123
category;Finance & Investments;Singapore,14300,"$372,062,527,489 ",21.0,4.0,0.008909102236620772
category;Finance & Investments;United Kingdom,54100,"$2,827,113,184,696 ",30.6,21.0,0.03370506510497788
category;Finance & Investments;Germany,23300,"$3,845,630,030,824 ",48.8,9.0,0.014516229518410069
category;Finance & Investments;Colombia,6400,"$323,802,808,108 ",71.2,1.0,0.003987290511494611
category;Finance & Investments;Poland,6200,"$592,164,400,688 ",40.8,1.0,0.0038626876830104044
category;Finance & Investments;Bahamas,6000,,,1.0,0.0037380848545261977
category;Finance & Investments;Israel,12600,"$395,098,666,122 ",25.3,5.0,0.007849978194505015
category;Finance & Investments;Georgia,4900,"$17,743,195,770 ",9.9,1.0,0.0030527692978630614
category;Finance & Investments;China,25500,"$19,910,000,000,000 ",59.2,8.0,0.01588686063173634
category;Finance & Investments;Brazil,27500,"$1,839,758,040,766 ",65.1,11.0,0.017132888916578406
category;Finance & Investments;Taiwan,26200,,,8.0,0.016322970531431065
category;Finance & Investments;Spain,12300,"$1,394,116,310,769 ",47.0,5.0,0.007663073951778706
category;Finance & Investments;Kazakhstan,19000,"$180,161,741,180 ",28.4,5.0,0.011837268705999627
category;Finance & Investments;Latvia,4200,"$34,117,202,555 ",38.1,1.0,0.0026166593981683385
category;Finance & Investments;Thailand,8400,"$543,649,976,166 ",29.5,4.0,0.005233318796336677
category;Finance & Investments;Cayman Islands,3900,,,1.0,0.0024297551554420286
category;Finance & Investments;Italy,9100,"$2,001,244,392,042 ",59.1,5.0,0.0056694286960314
category;Finance & Investments;Canada,14700,"$1,736,425,629,520 ",24.5,9.0,0.009158307893589184
category;Finance & Investments;Chile,2900,"$282,318,159,745 ",34.0,1.0,0.0018067410130209955
category;Finance & Investments;Netherlands,2600,"$909,070,395,161 ",41.2,1.0,0.0016198367702946856
category;Finance & Investments;Guernsey,2300,,,1.0,0.0014329325275683757
category;Finance & Investments;Ireland,2200,,,1.0,0.0013706311133262726
category;Finance & Investments;Turks and Caicos Islands,2000,,,1.0,0.0012460282848420659
category;Finance & Investments;Romania,2000,"$250,077,444,017 ",20.0,1.0,0.0012460282848420659
category;Finance & Investments;Mexico,3300,"$1,258,286,717,125 ",55.1,2.0,0.002055946669989409
category;Finance & Investments;Slovakia,1500,"$105,422,304,976 ",49.7,1.0,0.0009345212136315494
category;Finance & Investments;Vietnam,1500,"$261,921,244,843 ",37.6,1.0,0.0009345212136315494
category;Finance & Investments;Peru,1500,"$226,848,050,820 ",36.8,1.0,0.0009345212136315494
category;Finance & Investments;Australia,2600,"$1,392,680,589,329 ",47.4,2.0,0.0016198367702946856
category;Finance & Investments;Morocco,1300,"$118,725,279,596 ",45.8,1.0,0.0008099183851473428
category;Finance & Investments;Qatar,1200,"$183,466,208,791 ",11.3,1.0,0.0007476169709052396
category;Finance & Investments;Armenia,1200,"$13,672,802,158 ",22.6,1.0,0.0007476169709052396
category;Finance & Investments;Belgium,1100,"$529,606,710,418 ",55.4,1.0,0.0006853155566631363
category;Finance & Investments;South Africa,1000,"$351,431,649,241 ",29.2,1.0,0.0006230141424210329
category;Media & Entertainment,,,,,
category;Media & Entertainment;United States,246400,"$21,427,700,000,000 ",36.6,37.0,0.576374269005848
category;Media & Entertainment;Canada,57400,"$1,736,425,629,520 ",24.5,3.0,0.1342690058479532
category;Media & Entertainment;Australia,8400,"$1,392,680,589,329 ",47.4,1.0,0.019649122807017545
category;Media & Entertainment;United Kingdom,15200,"$2,827,113,184,696 ",30.6,3.0,0.035555555555555556
category;Media & Entertainment;Cayman Islands,5700,,,1.0,0.013333333333333334
category;Media & Entertainment;South Korea,11300,"$2,029,000,000,000 ",33.2,4.0,0.026432748538011697
category;Media & Entertainment;Singapore,8700,"$372,062,527,489 ",21.0,3.0,0.020350877192982456
category;Media & Entertainment;Germany,14400,"$3,845,630,030,824 ",48.8,5.0,0.03368421052631579
category;Media & Entertainment;China,20600,"$19,910,000,000,000 ",59.2,11.0,0.04818713450292398
category;Media & Entertainment;Israel,3300,"$395,098,666,122 ",25.3,1.0,0.0077192982456140355
category;Media & Entertainment;South Africa,2400,"$351,431,649,241 ",29.2,1.0,0.005614035087719298
category;Media & Entertainment;India,2400,"$2,611,000,000,000 ",49.7,1.0,0.005614035087719298
category;Media & Entertainment;Poland,2000,"$592,164,400,688 ",40.8,1.0,0.004678362573099415
category;Media & Entertainment;Netherlands,3000,"$909,070,395,161 ",41.2,2.0,0.007017543859649123
category;Media & Entertainment;Brazil,5400,"$1,839,758,040,766 ",65.1,3.0,0.01263157894736842
category;Media & Entertainment;Thailand,1800,"$543,649,976,166 ",29.5,1.0,0.004210526315789474
category;Media & Entertainment;Japan,5300,"$5,081,769,542,380 ",46.7,4.0,0.01239766081871345
category;Media & Entertainment;New Zealand,1500,"$206,928,765,544 ",34.6,1.0,0.0035087719298245615
category;Media & Entertainment;Turkey,1300,"$754,411,708,203 ",42.3,1.0,0.0030409356725146198
category;Media & Entertainment;Sweden,2300,"$530,832,908,738 ",49.1,2.0,0.005380116959064328
category;Media & Entertainment;Indonesia,1000,"$1,119,190,780,753 ",30.1,1.0,0.0023391812865497076
category;Telecom,,,,,
category;Telecom;Mexico,93000,"$1,258,286,717,125 ",55.1,1.0,0.457002457002457
category;Telecom;Japan,26200,"$5,081,769,542,380 ",46.7,2.0,0.12874692874692875
category;Telecom;United States,17600,"$21,427,700,000,000 ",36.6,5.0,0.08648648648648649
category;Telecom;France,6700,"$2,715,518,274,227 ",60.7,1.0,0.03292383292383293
category;Telecom;Malaysia,5200,"$364,701,517,788 ",38.7,1.0,0.025552825552825554
category;Telecom;Hong Kong,4600,,,1.0,0.022604422604422605
category;Telecom;Switzerland,4300,"$703,082,435,360 ",28.8,1.0,0.02113022113022113
category;Telecom;India,8000,"$2,611,000,000,000 ",49.7,2.0,0.03931203931203931
category;Telecom;Italy,4000,"$2,001,244,392,042 ",59.1,1.0,0.019656019656019656
category;Telecom;Egypt,3300,"$303,175,127,598 ",44.4,1.0,0.016216216216216217
category;Telecom;United Kingdom,6000,"$2,827,113,184,696 ",30.6,3.0,0.029484029484029485
category;Telecom;Lebanon,5600,"$53,367,042,272 ",32.2,2.0,0.027518427518427518
category;Telecom;Ireland,2700,,,1.0,0.013267813267813268
category;Telecom;Russia,1700,"$1,699,876,578,871 ",46.2,1.0,0.008353808353808353
category;Telecom;Canada,1600,"$1,736,425,629,520 ",24.5,1.0,0.007862407862407862
category;Telecom;Australia,1500,"$1,392,680,589,329 ",47.4,1.0,0.007371007371007371
category;Telecom;Cyprus,1100,"$24,564,647,935 ",22.4,1.0,0.005405405405405406
category;Telecom;China,3300,"$19,910,000,000,000 ",59.2,3.0,0.016216216216216217
category;Telecom;Turkey,1000,"$754,411,708,203 ",42.3,1.0,0.004914004914004914
category;Diversified,,,,,
category;Diversified;India,201900,"$2,611,000,000,000 ",49.7,22.0,0.22304463102076888
category;Diversified;United States,143800,"$21,427,700,000,000 ",36.6,13.0,0.15885992045956696
category;Diversified;Hong Kong,49800,,,2.0,0.05501546619531595
category;Diversified;United Kingdom,60900,"$2,827,113,184,696 ",30.6,9.0,0.0672779496243924
category;Diversified;Monaco,28500,"$7,184,844,193 ",,3.0,0.03148475475033142
category;Diversified;Thailand,40600,"$543,649,976,166 ",29.5,9.0,0.0448519664162616
category;Diversified;Malaysia,11800,"$364,701,517,788 ",38.7,2.0,0.013035793194874062
category;Diversified;United Arab Emirates,12800,"$421,142,267,938 ",15.9,2.0,0.014140521431727796
category;Diversified;Canada,19300,"$1,736,425,629,520 ",24.5,3.0,0.021321254971277067
category;Diversified;Russia,24300,"$1,699,876,578,871 ",46.2,8.0,0.026844896155545736
category;Diversified;Sweden,27200,"$530,832,908,738 ",49.1,7.0,0.030048608042421564
category;Diversified;Nigeria,14300,"$448,120,428,859 ",34.8,2.0,0.015797613787008394
category;Diversified;France,27100,"$2,715,518,274,227 ",60.7,4.0,0.02993813521873619
category;Diversified;Austria,7900,"$446,314,739,528 ",51.4,1.0,0.008727353071144498
category;Diversified;Mexico,9900,"$1,258,286,717,125 ",55.1,2.0,0.010936809544851966
category;Diversified;Italy,9400,"$2,001,244,392,042 ",59.1,3.0,0.0103844454264251
category;Diversified;China,47100,"$19,910,000,000,000 ",59.2,17.0,0.05203269995581087
category;Diversified;Indonesia,20100,"$1,119,190,780,753 ",30.1,6.0,0.022205037560760053
category;Diversified;Portugal,4700,"$237,686,075,635 ",39.8,1.0,0.00519222271321255
category;Diversified;Taiwan,6600,,,2.0,0.007291206363234644
category;Diversified;Vietnam,6500,"$261,921,244,843 ",37.6,2.0,0.007180733539549271
category;Diversified;Brazil,18100,"$1,839,758,040,766 ",65.1,8.0,0.019995581087052586
category;Diversified;Australia,4100,"$1,392,680,589,329 ",47.4,1.0,0.004529385771100309
category;Diversified;British Virgin Islands,3400,,,1.0,0.0037560760053026955
category;Diversified;Singapore,13700,"$372,062,527,489 ",21.0,6.0,0.015134776844896156
