id,value,gdp_country,tax_rate_country,amount_of_billionaires,percentage
category,,,,,
category;Fashion & Retail,,,,,
category;Manufacturing;Thailand,4600,"$543,649,976,166 ",29.5,3.0,0.004514229636898921
category;Manufacturing;Vietnam,1800,"$261,921,244,843 ",37.6,1.0,0.0017664376840039254
category;Manufacturing;Austria,3200,"$446,314,739,528 ",51.4,2.0,0.003140333660451423
category;Manufacturing;Spain,1600,"$1,394,116,310,769 ",47.0,1.0,0.0015701668302257115
category;Manufacturing;Andorra,1500,"$3,154,057,987 ",,1.0,0.0014720314033366045
category;Manufacturing;Sweden,1400,"$530,832,908,738 ",49.1,1.0,0.0013738959764474975
category;Manufacturing;Brazil,4800,"$1,839,758,040,766 ",65.1,4.0,0.004710500490677135
category;Manufacturing;Hungary,1200,"$160,967,157,504 ",37.9,1.0,0.0011776251226692837
category;Manufacturing;Belgium,1200,"$529,606,710,418 ",55.4,1.0,0.0011776251226692837
category;Manufacturing;South Korea,1000,"$2,029,000,000,000 ",33.2,1.0,0.0009813542688910696
category;Real Estate,,,,,
category;Real Estate;Hong Kong,131500,,,24.0,0.20003042287800427
category;Real Estate;United States,191900,"$21,427,700,000,000 ",36.6,51.0,0.29190751445086704
category;Real Estate;Australia,26300,"$1,392,680,589,329 ",47.4,8.0,0.04000608457560085
category;Real Estate;China,89200,"$19,910,000,000,000 ",59.2,31.0,0.13568603589899605
category;Real Estate;Germany,14000,"$3,845,630,030,824 ",48.8,2.0,0.02129601460298144
category;Real Estate;Philippines,8600,"$376,795,508,680 ",43.1,1.0,0.013081837541831457
category;Real Estate;India,28400,"$2,611,000,000,000 ",49.7,10.0,0.04320048676604807
category;Real Estate;Norway,7700,"$403,336,363,636 ",36.2,1.0,0.011712808031639793
category;Real Estate;Singapore,33300,"$372,062,527,489 ",21.0,14.0,0.05065409187709157
category;Real Estate;United Kingdom,12900,"$2,827,113,184,696 ",30.6,3.0,0.019622756312747187
category;Real Estate;Switzerland,9700,"$703,082,435,360 ",28.8,3.0,0.014755095832065714
category;Real Estate;Austria,6000,"$446,314,739,528 ",51.4,1.0,0.009126863401277762
category;Real Estate;Sweden,10500,"$530,832,908,738 ",49.1,3.0,0.01597201095223608
category;Real Estate;Canada,15100,"$1,736,425,629,520 ",24.5,6.0,0.022969272893215698
category;Real Estate;United Arab Emirates,6100,"$421,142,267,938 ",15.9,2.0,0.009278977791299057
category;Real Estate;Israel,4900,"$395,098,666,122 ",25.3,2.0,0.0074536051110435046
category;Real Estate;Russia,11200,"$1,699,876,578,871 ",46.2,5.0,0.017036811682385154
category;Real Estate;Malaysia,5600,"$364,701,517,788 ",38.7,3.0,0.008518405841192577
category;Real Estate;Japan,8200,"$5,081,769,542,380 ",46.7,4.0,0.012473379981746273
category;Real Estate;Taiwan,9800,,,5.0,0.014907210222087009
category;Real Estate;Spain,2500,"$1,394,116,310,769 ",47.0,1.0,0.0038028597505324006
category;Real Estate;Netherlands,1700,"$909,070,395,161 ",41.2,1.0,0.0025859446303620323
category;Real Estate;Thailand,5900,"$543,649,976,166 ",29.5,4.0,0.008974749011256465
category;Real Estate;France,1700,"$2,715,518,274,227 ",60.7,1.0,0.0025859446303620323
category;Real Estate;Slovakia,1600,"$105,422,304,976 ",49.7,1.0,0.002433830240340736
category;Real Estate;Argentina,1300,"$449,663,446,954 ",106.3,1.0,0.001977487070276848
category;Real Estate;Brazil,1200,"$1,839,758,040,766 ",65.1,1.0,0.0018253726802555522
category;Real Estate;Monaco,2000,"$7,184,844,193 ",,2.0,0.0030422878004259203
category;Metals & Mining,,,,,
category;Metals & Mining;Australia,57300,"$1,392,680,589,329 ",47.4,8.0,0.12824529991047448
category;Metals & Mining;Mexico,30600,"$1,258,286,717,125 ",55.1,2.0,0.0684870188003581
category;Metals & Mining;United Arab Emirates,25200,"$421,142,267,938 ",15.9,1.0,0.05640107430617726
category;Metals & Mining;Russia,111400,"$1,699,876,578,871 ",46.2,15.0,0.2493285586392122
category;Metals & Mining;Chile,26400,"$282,318,159,745 ",34.0,2.0,0.05908683974932856
category;Metals & Mining;China,58400,"$19,910,000,000,000 ",59.2,14.0,0.13070725156669652
category;Metals & Mining;United Kingdom,23400,"$2,827,113,184,696 ",30.6,4.0,0.052372426141450316
category;Metals & Mining;India,17500,"$2,611,000,000,000 ",49.7,1.0,0.0391674127126231
category;Metals & Mining;Uzbekistan,14400,"$57,921,286,440 ",31.6,1.0,0.03222918531781558
category;Metals & Mining;Switzerland,22100,"$703,082,435,360 ",28.8,7.0,0.04946284691136974
category;Metals & Mining;South Africa,11100,"$351,431,649,241 ",29.2,2.0,0.024843330349149508
category;Metals & Mining;Czech Republic,8000,"$246,489,245,495 ",46.1,1.0,0.017905102954341987
category;Metals & Mining;Ukraine,10500,"$153,781,069,118 ",45.2,4.0,0.023500447627573858
category;Metals & Mining;Indonesia,6100,"$1,119,190,780,753 ",30.1,2.0,0.013652641002685765
category;Metals & Mining;Kazakhstan,7300,"$180,161,741,180 ",28.4,2.0,0.016338406445837065
category;Metals & Mining;Singapore,5200,"$372,062,527,489 ",21.0,2.0,0.011638316920322292
category;Metals & Mining;United States,2000,"$21,427,700,000,000 ",36.6,1.0,0.004476275738585497
category;Metals & Mining;Italy,1700,"$2,001,244,392,042 ",59.1,1.0,0.0038048343777976725
category;Metals & Mining;Spain,1600,"$1,394,116,310,769 ",47.0,1.0,0.0035810205908683975
category;Metals & Mining;Israel,1200,"$395,098,666,122 ",25.3,1.0,0.0026857654431512983
category;Energy,,,,,
category;Energy;Indonesia,33200,"$1,119,190,780,753 ",30.1,5.0,0.07320837927232635
category;Energy;Russia,93200,"$1,699,876,578,871 ",46.2,15.0,0.20551267916207278
category;Energy;United States,160300,"$21,427,700,000,000 ",36.6,35.0,0.35347298787210585
category;Energy;United Kingdom,26900,"$2,827,113,184,696 ",30.6,5.0,0.059316427783902975
category;Energy;Thailand,15700,"$543,649,976,166 ",29.5,2.0,0.03461962513781698
category;Energy;China,63800,"$19,910,000,000,000 ",59.2,18.0,0.14068357221609704
category;Energy;Czech Republic,9200,"$246,489,245,495 ",46.1,1.0,0.020286659316427785
category;Energy;France,6400,"$2,715,518,274,227 ",60.7,1.0,0.014112458654906285
category;Energy;Hong Kong,12300,,,4.0,0.027122381477398014
category;Energy;Canada,5700,"$1,736,425,629,520 ",24.5,1.0,0.01256890848952591
category;Energy;Switzerland,4000,"$703,082,435,360 ",28.8,1.0,0.008820286659316428
category;Energy;Argentina,2900,"$449,663,446,954 ",106.3,1.0,0.00639470782800441
category;Energy;Brazil,4000,"$1,839,758,040,766 ",65.1,2.0,0.008820286659316428
category;Energy;Turkey,3600,"$754,411,708,203 ",42.3,2.0,0.007938257993384785
category;Energy;Singapore,3500,"$372,062,527,489 ",21.0,2.0,0.007717750826901874
category;Energy;Finland,1900,"$268,761,201,365 ",36.6,1.0,0.004189636163175303
category;Energy;Greece,1900,"$209,852,761,469 ",51.9,1.0,0.004189636163175303
category;Energy;Uruguay,1800,"$56,045,912,952 ",41.8,1.0,0.003969128996692392
category;Energy;Italy,1600,"$2,001,244,392,042 ",59.1,1.0,0.0035281146637265713
category;Energy;Australia,1600,"$1,392,680,589,329 ",47.4,1.0,0.0035281146637265713
category;Healthcare,,,,,
category;Healthcare;India,97000,"$2,611,000,000,000 ",49.7,29.0,0.15080845771144277
category;Healthcare;United States,116200,"$21,427,700,000,000 ",36.6,34.0,0.1806592039800995
category;Healthcare;China,211800,"$19,910,000,000,000 ",59.2,72.0,0.3292910447761194
category;Healthcare;Germany,68400,"$3,845,630,030,824 ",48.8,20.0,0.10634328358208955
category;Healthcare;Switzerland,50300,"$703,082,435,360 ",28.8,12.0,0.07820273631840796
category;Healthcare;Italy,15400,"$2,001,244,392,042 ",59.1,3.0,0.02394278606965174
category;Healthcare;France,13000,"$2,715,518,274,227 ",60.7,4.0,0.020211442786069653
category;Healthcare;Denmark,6800,"$348,078,018,464 ",23.8,2.0,0.010572139303482588
category;Healthcare;South Korea,5600,"$2,029,000,000,000 ",33.2,1.0,0.008706467661691543
category;Healthcare;Hong Kong,10200,,,3.0,0.01585820895522388
category;Healthcare;Russia,9100,"$1,699,876,578,871 ",46.2,3.0,0.014148009950248756
category;Healthcare;Poland,4000,"$592,164,400,688 ",40.8,1.0,0.006218905472636816
category;Healthcare;Brazil,8800,"$1,839,758,040,766 ",65.1,3.0,0.013681592039800995
category;Healthcare;Thailand,4800,"$543,649,976,166 ",29.5,2.0,0.007462686567164179
category;Healthcare;United Kingdom,5400,"$2,827,113,184,696 ",30.6,2.0,0.008395522388059701
category;Healthcare;Liechtenstein,2300,"$6,552,858,739 ",21.6,1.0,0.0035758706467661694
category;Healthcare;United Arab Emirates,2200,"$421,142,267,938 ",15.9,1.0,0.003420398009950249
category;Healthcare;Monaco,2000,"$7,184,844,193 ",,1.0,0.003109452736318408
category;Healthcare;Finland,2000,"$268,761,201,365 ",36.6,1.0,0.003109452736318408
category;Healthcare;Japan,3100,"$5,081,769,542,380 ",46.7,2.0,0.004819651741293532
category;Healthcare;Israel,1500,"$395,098,666,122 ",25.3,1.0,0.0023320895522388058
category;Healthcare;Turkey,1200,"$754,411,708,203 ",42.3,1.0,0.0018656716417910447
category;Healthcare;Singapore,1000,"$372,062,527,489 ",21.0,1.0,0.001554726368159204
category;Service,,,,,
category;Service;China,52400,"$19,910,000,000,000 ",59.2,11.0,0.3021914648212226
category;Service;United States,67100,"$21,427,700,000,000 ",36.6,19.0,0.38696655132641294
category;Service;Netherlands,6200,"$909,070,395,161 ",41.2,1.0,0.03575547866205306
category;Service;Israel,4200,"$395,098,666,122 ",25.3,1.0,0.02422145328719723
category;Service;France,4100,"$2,715,518,274,227 ",60.7,1.0,0.02364475201845444
category;Service;India,6600,"$2,611,000,000,000 ",49.7,2.0,0.03806228373702422
category;Service;Germany,3200,"$3,845,630,030,824 ",48.8,1.0,0.01845444059976932
category;Service;Switzerland,7100,"$703,082,435,360 ",28.8,3.0,0.040945790080738176
category;Service;United Arab Emirates,3000,"$421,142,267,938 ",15.9,1.0,0.01730103806228374
category;Service;Spain,4900,"$1,394,116,310,769 ",47.0,3.0,0.02825836216839677
category;Service;Mexico,2600,"$1,258,286,717,125 ",55.1,1.0,0.014994232987312572
category;Service;Russia,2600,"$1,699,876,578,871 ",46.2,1.0,0.014994232987312572
category;Service;Bahrain,1500,"$38,574,069,149 ",13.8,1.0,0.00865051903114187
category;Service;Monaco,4500,"$7,184,844,193 ",,4.0,0.025951557093425604
category;Service;Hong Kong,1300,,,1.0,0.007497116493656286
category;Service;Japan,1100,"$5,081,769,542,380 ",46.7,1.0,0.006343713956170703
category;Service;Norway,1000,"$403,336,363,636 ",36.2,1.0,0.0057670126874279125
category;Construction & Engineering,,,,,
category;Construction & Engineering;United States,20900,"$21,427,700,000,000 ",36.6,5.0,0.17637130801687764
category;Construction & Engineering;Egypt,7400,"$303,175,127,598 ",44.4,1.0,0.06244725738396625
category;Construction & Engineering;United Kingdom,8800,"$2,827,113,184,696 ",30.6,3.0,0.07426160337552742
category;Construction & Engineering;Switzerland,8600,"$703,082,435,360 ",28.8,2.0,0.07257383966244725
category;Construction & Engineering;Spain,10900,"$1,394,116,310,769 ",47.0,4.0,0.0919831223628692
category;Construction & Engineering;Italy,7500,"$2,001,244,392,042 ",59.1,4.0,0.06329113924050633
category;Construction & Engineering;Russia,8600,"$1,699,876,578,871 ",46.2,4.0,0.07257383966244725
category;Construction & Engineering;France,6800,"$2,715,518,274,227 ",60.7,3.0,0.05738396624472574
category;Construction & Engineering;Canada,3300,"$1,736,425,629,520 ",24.5,1.0,0.027848101265822784
category;Construction & Engineering;United Arab Emirates,4400,"$421,142,267,938 ",15.9,2.0,0.03713080168776371
category;Construction & Engineering;China,7000,"$19,910,000,000,000 ",59.2,4.0,0.05907172995780591
category;Construction & Engineering;Austria,2500,"$446,314,739,528 ",51.4,1.0,0.02109704641350211
category;Construction & Engineering;Turkey,4200,"$754,411,708,203 ",42.3,2.0,0.035443037974683546
category;Construction & Engineering;India,6100,"$2,611,000,000,000 ",49.7,3.0,0.05147679324894515
category;Construction & Engineering;Malaysia,1600,"$364,701,517,788 ",38.7,1.0,0.01350210970464135
category;Construction & Engineering;Mexico,1500,"$1,258,286,717,125 ",55.1,1.0,0.012658227848101266
category;Construction & Engineering;South Korea,1100,"$2,029,000,000,000 ",33.2,1.0,0.009282700421940928
category;Sports,,,,,
category;Sports;United States,127500,"$21,427,700,000,000 ",36.6,35.0,0.9479553903345725
category;Sports;United Kingdom,2900,"$2,827,113,184,696 ",30.6,1.0,0.021561338289962824
category;Sports;Canada,2000,"$1,736,425,629,520 ",24.5,1.0,0.01486988847583643
category;Sports;Switzerland,1100,"$703,082,435,360 ",28.8,1.0,0.008178438661710037
category;Sports;Monaco,1000,"$7,184,844,193 ",,1.0,0.007434944237918215
