id,value
category;Diversified;British Virgin Islands,3400
category;Diversified;Singapore,13700
category;Diversified;Turkey,26500
category;Diversified;Germany,2800
category;Diversified;Oman,2700
category;Diversified;Philippines,20900
category;Diversified;Chile,3400
category;Diversified;Argentina,1900
category;Diversified;Switzerland,4500
category;Diversified;Qatar,1800
category;Diversified;Nepal,1800
category;Diversified;South Korea,4700
category;Diversified;Greece,1600
category;Diversified;Morocco,1500
category;Diversified;Norway,3000
category;Diversified;Israel,1500
category;Diversified;Hungary,2700
category;Diversified;Tanzania,1500
category;Diversified;Egypt,2800
category;Diversified;Finland,1400
category;Diversified;Poland,1300
category;Diversified;Ukraine,2100
category;Diversified;Peru,1000
category;Food & Beverage,
category;Food & Beverage;China,214800
category;Food & Beverage;Belgium,38900
category;Food & Beverage;United States,336300
category;Food & Beverage;Austria,34700
category;Food & Beverage;France,43000
category;Food & Beverage;Switzerland,42000
category;Food & Beverage;Thailand,18900
category;Food & Beverage;United Kingdom,41400
category;Food & Beverage;Brazil,22900
category;Food & Beverage;Canada,16500
category;Food & Beverage;India,32600
category;Food & Beverage;Singapore,12600
category;Food & Beverage;Mexico,10700
category;Food & Beverage;Germany,13000
category;Food & Beverage;Turkey,5000
category;Food & Beverage;Algeria,4600
category;Food & Beverage;Czech Republic,4100
category;Food & Beverage;Italy,9700
category;Food & Beverage;Bermuda,4600
category;Food & Beverage;Philippines,4600
category;Food & Beverage;Australia,4000
category;Food & Beverage;Norway,2700
category;Food & Beverage;Ireland,2600
category;Food & Beverage;Russia,5600
category;Food & Beverage;Israel,3400
category;Food & Beverage;Taiwan,6500
category;Food & Beverage;Monaco,2000
category;Food & Beverage;Spain,3000
category;Food & Beverage;Japan,3200
category;Food & Beverage;Indonesia,1800
category;Food & Beverage;United Arab Emirates,1500
category;Food & Beverage;Vietnam,1300
category;Food & Beverage;Hong Kong,1000
category;Logistics,
category;Logistics;Switzerland,102800
category;Logistics;United Kingdom,13700
category;Logistics;France,31000
category;Logistics;Philippines,7300
category;Logistics;United States,20500
category;Logistics;Hong Kong,13900
category;Logistics;Greece,5600
category;Logistics;China,18700
category;Logistics;Norway,5100
category;Logistics;Australia,3200
category;Logistics;Russia,8500
category;Logistics;Japan,1600
category;Logistics;Taiwan,2500
category;Logistics;Malaysia,1500
category;Logistics;Indonesia,1300
category;Logistics;India,1300
category;Gambling & Casinos,
category;Gambling & Casinos;United States,49500
category;Gambling & Casinos;Hong Kong,18700
category;Gambling & Casinos;Switzerland,8100
category;Gambling & Casinos;Austria,7100
category;Gambling & Casinos;United Kingdom,15100
category;Gambling & Casinos;Israel,5600
category;Gambling & Casinos;Cambodia,2800
category;Gambling & Casinos;Germany,2400
category;Gambling & Casinos;Malaysia,2300
category;Gambling & Casinos;Sweden,3100
category;Gambling & Casinos;Japan,4700
category;Gambling & Casinos;Spain,1100
category;Manufacturing,
category;Manufacturing;Germany,72800
category;Manufacturing;China,373200
category;Manufacturing;Indonesia,27000
category;Manufacturing;United Kingdom,56200
category;Manufacturing;Japan,24700
category;Manufacturing;Singapore,21500
category;Manufacturing;Nigeria,14200
category;Manufacturing;Israel,17600
category;Manufacturing;Australia,17200
category;Manufacturing;Russia,31300
category;Manufacturing;Taiwan,19300
category;Manufacturing;United States,90700
category;Manufacturing;India,76200
category;Manufacturing;Denmark,26800
category;Manufacturing;Switzerland,30200
category;Manufacturing;Monaco,6400
category;Manufacturing;Turkey,10000
category;Manufacturing;Hong Kong,29100
category;Manufacturing;Finland,8700
category;Manufacturing;Malaysia,4000
category;Manufacturing;Italy,13700
category;Manufacturing;Netherlands,5200
category;Manufacturing;Canada,5700
category;Manufacturing;Mexico,3200
category;Manufacturing;France,3100
category;Manufacturing;Ireland,2100
category;Manufacturing;Thailand,4600
category;Manufacturing;Vietnam,1800
category;Manufacturing;Austria,3200
category;Manufacturing;Spain,1600
category;Manufacturing;Andorra,1500
category;Manufacturing;Sweden,1400
category;Manufacturing;Brazil,4800
category;Manufacturing;Hungary,1200
category;Manufacturing;Belgium,1200
category;Manufacturing;South Korea,1000
category;Real Estate,
category;Real Estate;Hong Kong,131500
category;Real Estate;United States,191900
category;Real Estate;Australia,26300
category;Real Estate;China,89200
category;Real Estate;Germany,14000
category;Real Estate;Philippines,8600
category;Real Estate;India,28400
category;Real Estate;Norway,7700
category;Real Estate;Singapore,33300
category;Real Estate;United Kingdom,12900
category;Real Estate;Switzerland,9700
category;Real Estate;Austria,6000
category;Real Estate;Sweden,10500
category;Real Estate;Canada,15100
category;Real Estate;United Arab Emirates,6100
category;Real Estate;Israel,4900
category;Real Estate;Russia,11200
category;Real Estate;Malaysia,5600
category;Real Estate;Japan,8200
category;Real Estate;Taiwan,9800
category;Real Estate;Spain,2500
category;Real Estate;Netherlands,1700
category;Real Estate;Thailand,5900
category;Real Estate;France,1700
category;Real Estate;Slovakia,1600
category;Real Estate;Argentina,1300
category;Real Estate;Brazil,1200
category;Real Estate;Monaco,2000
category;Metals & Mining,
category;Metals & Mining;Australia,57300
category;Metals & Mining;Mexico,30600
category;Metals & Mining;United Arab Emirates,25200
category;Metals & Mining;Russia,111400
category;Metals & Mining;Chile,26400
category;Metals & Mining;China,58400
category;Metals & Mining;United Kingdom,23400
category;Metals & Mining;India,17500
category;Metals & Mining;Uzbekistan,14400
category;Metals & Mining;Switzerland,22100
category;Metals & Mining;South Africa,11100
category;Metals & Mining;Czech Republic,8000
category;Metals & Mining;Ukraine,10500
category;Metals & Mining;Indonesia,6100
category;Metals & Mining;Kazakhstan,7300
category;Metals & Mining;Singapore,5200
category;Metals & Mining;United States,2000
category;Metals & Mining;Italy,1700
category;Metals & Mining;Spain,1600
category;Metals & Mining;Israel,1200
category;Energy,
category;Energy;Indonesia,33200
category;Energy;Russia,93200
category;Energy;United States,160300
category;Energy;United Kingdom,26900
category;Energy;Thailand,15700
category;Energy;China,63800
category;Energy;Czech Republic,9200
category;Energy;France,6400
category;Energy;Hong Kong,12300
category;Energy;Canada,5700
category;Energy;Switzerland,4000
category;Energy;Argentina,2900
category;Energy;Brazil,4000
category;Energy;Turkey,3600
category;Energy;Singapore,3500
category;Energy;Finland,1900
category;Energy;Greece,1900
category;Energy;Uruguay,1800
category;Energy;Italy,1600
category;Energy;Australia,1600
category;Healthcare,
category;Healthcare;India,97000
category;Healthcare;United States,116200
category;Healthcare;China,211800
category;Healthcare;Germany,68400
category;Healthcare;Switzerland,50300
category;Healthcare;Italy,15400
